,name,link,site,max_salary,min_salary,currency
45,Аналитик,https://ekaterinburg.hh.ru/vacancy/55045168?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
46,Финансовый аналитик (ценные бумаги),https://ekaterinburg.hh.ru/vacancy/54617619?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,100000.0,руб.
47,Бизнес-аналитик (Операционный маркетинг),https://ekaterinburg.hh.ru/vacancy/55481780?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
48,Специалист по работе с маркетплейсами,https://ekaterinburg.hh.ru/vacancy/55363897?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,40000.0,руб.
49,Аналитик в целевой маркетинг,https://ekaterinburg.hh.ru/vacancy/54870446?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
50,Младший системный аналитик,https://ekaterinburg.hh.ru/vacancy/51175478?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,40000.0,руб.
51,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/55427126?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
52,Экономист-аналитик,https://ekaterinburg.hh.ru/vacancy/53058413?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,40000.0,35000.0,руб.
53,Экономист-аналитик,https://ekaterinburg.hh.ru/vacancy/55551924?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,45000.0,руб.
54,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/46950418?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
